country,variety,points,price,title,taster_name,description,year
Argentina,Malbec-Cabernet Sauvignon,86,39,Bodega Las Cañitas 2009 Familia Navarro Torrre Grand Gold Medal Malbec-Cabernet Sauvignon (Argentina),Michael Schachner,"Gritty aromas of herbal berry fruits and coffee grounds lead to a hard tannic, compact palate with loud acidity. Disparate flavors of burnt coffee, tomato and stewed plum finish with scraping tannins and herbal notes that reflect the nose and palate.",2009
Argentina,Chardonnay,82,10,Trapiche 2011 Oak Cask Chardonnay (Mendoza),Michael Schachner,"After light scents of butter and spiced apple surface, the wine turns briny and pickled, both in aromas and flavors. It feels fleshy on the finish, with briny stone-fruit and citrus flavors.",2011
US,Red Blend,88,40,Galante 2014 Bulls Eye Red (Carmel Valley),Matt Kettmann,"Black cherry, crushed concrete and spicy peppercorn show on the nose of this Cabernet Sauvignon and Petite Sirah dessert blend. There are luscious ripe flavors on the palate, including crème de cassis, black plum and prune, with a gravel-like minerality lending elegance. The high alcohol is well integrated.",2014
US,Viognier,86,20,Horton 2013 Viognier (Virginia),Alexander Peartree,"Muddled stone fruit aromas meld with overripe floral tones on the nose. There's a pop of pineapple and mango fruits on the front, with tangerine leading to a short finish. This is a straightforward but enjoyable fruit-bomb.",2013
US,Pinot Noir,92,60,Black Kite 2014 River Turn Pinot Noir (Anderson Valley),Jim Gordon,"This wine is so ripe, rich and generous in flavor it's almost jammy, but there's no denying the appeal of all that fruitiness. Full body, velvety texture and soft acidity make it plush on the palate, helping the rich finish linger. Although it was aged in French barriques—two-thirds new—it's by no means an overoaked wine.",2014
US,Cabernet Sauvignon,92,60,Laurel Glen 2006 Cabernet Sauvignon (Sonoma Mountain),NA,"Hard tannins, dryness and oakiness are the three horsemen that mark this young, vital Cabernet. Is it ageworthy? Absolutely. Once the fruit kicks in, which is pretty much instantly, it's devastatingly rich and spicy in blackberries, blueberries and cassis. Clearly a cellar candidate for at least the next decade.",2006
France,Champagne Blend,87,47,Henri Abele NV Brut Rosé  (Champagne),Roger Voss,"A light-colored rosé, this is fresh, soft and fruity. It has attractive raspberry and flaked apple flavors, with well-integrated acidity. It makes a good apéritif style of Champagne with its gentle, warm aftertaste.",NA
US,Cabernet Sauvignon,90,75,Rodney Strong 2012 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Virginie Boone,"This comes from a vineyard established in 1971—one of the first in the appellation to contribute a single-vineyard bottling of the variety. It features a treasure trove of rich red cherry, leathery tannin and dry mocha on the palate, emboldened by a twist of cedar and dried herb.",2012
US,Cabernet Sauvignon,83,15,Palmer 1998 Cabernet Sauvignon (North Fork of Long Island),Joe Czerwinski,"Already showing some signs of age in its slightly browning rim, this Cab boasts scents of eucalyptus, vanilla, cinnamon and red cherries, but it's all overly delicate-almost lacy. There's just not enough there to score higher despite its charms.",1998
US,Sauvignon Blanc,90,24,Rochioli 2001 Sauvignon Blanc (Russian River Valley),NA,"In this vintage, one of Sonoma's top SBs scores points in all the requisite areas. A tiny bit of talc softens the tropical fruit bouquet. More exotic fruit is on the palate, highlighted by firm edges and some citrus rind. A bit of banana sweetens the long, dry finish, leaving you with the right overall impression.",2001
Italy,Glera,87,19,Bortolotti NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),NA,"Bortolotti has a well-earned reputation for steady, classic expressions of Prosecco exemplified by this luminous Extra Dry. Aromas here include spring flower, melon and white peach.",NA
Australia,Shiraz,89,70,Kilikanoon 2008 Oracle Shiraz (Clare Valley),Joe Czerwinski,"This wine starts off with notes of blackberry, mint and asphalt on the nose, unfurling on the tongue to reveal tar, black olive, meat and blackberry flavors. It's full bodied and intense, even a bit warm on the finish. Impressively concentrated, but slightly bitter as well.",2008
Italy,Red Blend,89,45,Ornellaia 2014 Le Serre Nuove Red (Toscana),Kerin O’Keefe,"Made with Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot, this has aromas of black-skinned berry, violet, toasted oak and a whiff of dark baking spice. The soft palate offers black currant, espresso, French oak and a hint of dried sage alongside fine-grained tannins and bright acidity.",2014
France,Champagne Blend,95,NA,Taittinger 2002 Brut Millésimé  (Champagne),Roger Voss,"With its aromas of very pure, crisp fruits, this ripe wine from the great 2002 vintage is so complete. It has flavors of dried fruits, apricots and pear, and a texture that fills the mouth with a tight, mineral character. Impressive now, it does need to age, or even be decanted before serving.",2002
US,Cabernet Sauvignon,81,16,Castle Rock 2010 Cabernet Sauvignon (Napa County),NA,"A dreary, simple wine, as thin as water with a few drops of blackberry syrup. It's also soft and bitter on the finish.",2010
US,Sauvignon Blanc,91,14,Husch 2014 La Ribera Vineyards Sauvignon Blanc (Mendocino),Jim Gordon,"A fresh, invigorating citrus and pine flavor energizes this crisp and yet substantive wine in a way that will taste great with seafood and fresh cheeses. It shows nice concentration, fine balance and a lingering finish.",2014
US,Red Blend,90,19,Salida 2008 Tres Viños Red (Yakima Valley),Paul Gregutt,"This is half Tempranillo, one quarter Garnacha, one quarter Monastrell. Pop the cork and right away come aromas with a mix of exotic, seductive spices, vanilla, sweet grain, plum and some bakery sweetness. The fruit is plump and dotted with dried herb, dusted with powdered sugar, open and expansive.",2008
US,Syrah,94,110,Horsepower 2011 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Paul Gregutt,"Floral aromas and tight raspberry fruit flavors are the first impression. Next come notes of wild game, with blood, herb and a bit of liver pâté. Unique, deep and yet somehow delicate, this has impressive complexity for a vineyard's first release.",2011
US,Chardonnay,89,55,Merryvale 1998 Silhouette Chardonnay (California),NA,"They took only the best fruit they could find for this expensive wine, and made only 1,280 cases of it. Using every Burgundian trick in the book, winemaker Steve Test has created a rich, creamy wine, long on smoky oak and yeasty lees, with impressive spice and fruit that veers toward peaches and more tropical notes.",1998
US,Cabernet Sauvignon,92,45,Seven Hills 2012 Klipsun Vineyard Cabernet Sauvignon (Red Mountain),Sean P. Sullivan,"Coffee, herb, cherry, cocoa and barrel-spice aromas draw you into the glass. The palate brings down a velvet hammer with dense, brooding dark cherry flavors backed by tightly wound tannins. It has the stuffing to go the distance. Wait until 2021 or give it a day-long decant.",2012
Germany,Riesling,88,55,Baron Knyphausen 2009 Erbacher Steinmorgen Erstes Gewächs Trocken Riesling (Rheingau),Joe Czerwinski,"Lush and already highly enjoyable, with a round, creamy texture and lingering finish. The aromas and flavors bring to mind dessert—ripe apple, honey and cinnamon—but the wine remains essentially dry.",2009
Portugal,Portuguese Red,85,10,Falua 2009 Tâmara Red (Tejo),Roger Voss,"With its earthy aromas and soft palate, this is a rustic wine, the sort designed for pairing with grilled meat. It has black plum flavors along with spice and bright red fruits. Drink now.",2009
US,Petite Sirah,91,55,Chase 2009 Petite Sirah (Calistoga),NA,"Pretty expensive for a Petite Sirah, but it really is fantastic. Shows the variety's powerful tannins and fruit, with a velvety texture framing jammy blackberries, blueberries, carob, vanilla, exotic spices and smoky cedar. Will develop for many years, but there's no reason not to drink it now.",2009
US,Sauvignon Blanc,89,17,Foley 2000 Sauvignon Blanc (Santa Barbara),NA,"This big-bodied wine is full of smoke, toast and custard in the nose, sure signs of barrel fermentation or aging. The mouth is packed with thick, custardy citrus fruit, which renders it a bit like orange-tinged flan. Fortunately, it retains its acids, which keeps it well balanced despite the heavy oaking it went through.",2000
US,White Blend,88,13,Hedges 2007 C.M.S. White White (Columbia Valley (WA)),Paul Gregutt,"This is almost two thirds Sauvignon Blanc, one third Chardonnay, and one percent Marsanne providing the ‘M' that completes the name. Fresh and fruity, pure and quaffable, this fragrant white wine is exactly what this state needs more of. Nothing wimpy about it, just great, lightly ripe flavors of citrus and stone fruits, without the crutch of oak.",2007
Austria,Riesling,92,NA,Bründlmayer 2011 Steinmassel Erste Lage Riesling (Kamptal),Roger Voss,"Made using fruit from one of the top Kamptal vineyards, this perfumed wine has great texture, with tight acidity and notes of green plum skin and lemon zest. With its depth of flavor and nervy, minerally edge, it will age for at least four years.",2011
Italy,Dolcetto,86,29,Poderi Luigi Einaudi 2005 Vigna Tecc  (Dolcetto di Dogliani Superiore),NA,"Unlike most Dolcettos, this is laid back; it doesn't announce itself with a great blast of fruit. Instead it offers a package of spices and blackberry jam throughout the palate. No great intensity here but there is an easy elegance to the wine, culminating in a solid, medium finish.",2005
US,Zinfandel,86,35,Benessere 2009 Black Glass Vineyard Estate Zinfandel (Napa Valley),NA,"While this wine has Napa elegance, it never completely loses the varietal's rustic edge. It's rich in briary berries, cola, tobacco and white pepper flavors, and it comes with an overripe, raisiny sweetness.",2009
Italy,Prosecco,85,15,Zardetto NV Brut  (Prosecco del Veneto),NA,"This is a neutral wine with little in terms of aromatic intensity although it does not lack in definition. The goal here is to keep the palate refreshed as a before-dinner drink, and this well-priced sparkler definitely gets the job done.",NA
Austria,Riesling,91,48,Arndorfer 2008 Die Leidenschaft Riesling (Niederösterreich),Roger Voss,"Beautifully perfumed, this is now maturing. It has an elegance, lightness of touch and a wonderful almond and spice character. The fruit is softened and rounded, with the acidity lending a vivid aftertaste.",2008
Spain,Chardonnay,84,15,Enate 2014 234 Chardonnay (Somontano),Michael Schachner,"Waxy, weird aromas of lemon and ham are all over the map. This feels heavy, with a sense of sugary weight. Chunky flavors of cured pork and creamy melon finish plump but amorphous.",2014
Chile,Cabernet Sauvignon,85,15,Indomita 2014 Gran Reserva Cabernet Sauvignon (Maipo Valley),Michael Schachner,"This is an overtly oaky Cabernet with resiny, balsamic aromas that share space with baked black-fruit scents. The palate feels flabby and fat, with modest tannic grip. Jammy blueberry and cassis flavors end oaky, resiny and jammy.",2014
US,Viognier-Valdiguié,84,17,Westbrook Wine Farm 2007 Viognier-Valdiguié (Madera),NA,"Fruity and easy, this soft wine has sweet flavors of apricots and caramel. Valdiguié, formerly known as Napa Gamay, is a red grape, and that accounts for the note of crushed raspberries.",2007
US,Red Blend,88,14,Three Rivers 2013 River's Red (Columbia Valley (WA)),Sean P. Sullivan,"Sangiovese, Malbec and Merlot take the lead on this blend. Red cherry, plum and red currant aromas are followed by tangy fruit flavors, with the oak seeming dialed back and a lingering finish. Pair it with pizza or a red pasta sauce.",2013
Spain,Red Blend,88,12,Can Blau 2010 Blau Red (Montsant),Michael Schachner,"This straightforward, perfectly clean blend of Carignan, Syrah and Garnacha would function as a great everyday house red. It's lively and a little racy and grating on the palate, with standard, fresh berry flavors touched up by a sprinkle of chocolaty oak. A modest finish keeps the vibe positive.",2010
France,Pinot Noir,87,40,L. Tramier & Fils 2015 Laurent Dufouleur Château Mi-Pont  (Mercurey),Roger Voss,"This large appellation in the Côte Chalonnaise can produce fruity wines like this. With red-berry fruits and light tannins, the wine has spice and crisp edge of acidity that comes from fruit that was just ripe, surprising in the rich 2015 vintage. The wine will be ready to drink from 2018.",2015
US,Pinot Noir,84,17,MooBuzz 2008 Pinot Noir (Monterey),NA,"Thin and acidic, with cola, cherry, orange and oak flavors. Okay in a pinch for a dry, everyday Pinot Noir.",2008
Germany,Riesling,87,14,Winzer Von Erbach 2016 Weinkeller Erbach Riesling (Rheingau),Anna Lee C. Iijima,"A tinge of lime pith lends nuance to this straightforward yet refreshingly citrusy Riesling. Just a shade off dry, its delicate sweetness is balanced neatly by cutting acidity and a spry, zesty mouthfeel. Enjoy now for its freshness.",2016
France,Sauvignon Blanc,90,23,Bouchié-Chatellier 2015 La Renardière  (Pouilly-Fumé),Roger Voss,"This is a perfumed crisp wine, attractively fruity and with delicious acidity. Its fruit is effusive and needs to calm down and fill out, so just wait until 2018 for it richness to be fully apparent.",2015
US,Grüner Veltliner,88,25,Chehalem 2016 Ridgecrest Vineyards Grüner Veltliner (Ribbon Ridge),Paul Gregutt,"Bursting with ripe apple scents and flavors, this is dry and ready to enjoy. Fermented in a mix of neutral barrel and stainless steel, it starts off sharp and assertive but mellows into pleasing roundness on the midpalate. Drink now and over the next year or two while it's at its freshest.",2016
US,Syrah,87,16,Valley of the Moon 2005 Syrah (Sonoma County),NA,"Beautiful Syrah at a fair price. It's soft and velvety, with rich, complex flavors of chocolate, blackberries, succulent anise biscotti and violets, with smoky, cedary notes from oak. Drink now.",2005
Portugal,Viognier,88,19,Dona Maria-Júlio Bastos 2015 Viognier (Alentejano),Roger Voss,This shows the subtlest hints of the apricot character so often found in Viognier. That gives richness to contrast its crisp acidity and apple and pear flavors. The finish is long and perfumed. Drink now.,2015
France,Rosé,87,12,Domaines Pierre Chavin 2016 Pierre et Paul Rosé (Côtes de Provence),Roger Voss,"Produced from organically grown grapes, this wine has attractive red fruits and a warm ripe character. Dominated by Grenache, it has a light peppery edge as well as plenty of bright acidity to contrast the fruitiness. Drink now.",2016
Spain,Sparkling Blend,87,20,Aranleón NV Deshora Brut Orgánico Sparkling (Cava),Michael Schachner,"Aromas of pickled lime and not much else define the nose on this medium-bodied brut. Flavors of lettuce and lime are dry, while this remains dry and fresh on a clean, simple finish.",NA
US,Chardonnay,94,55,Two Sisters 2015 Courtney's Vineyard Reserve Chardonnay (Sta. Rita Hills),Matt Kettmann,"Pungent aromas of tight-grained oak meet with almonds, pecans and lemon sorbet on the opulent attention-grabbing nose. Woody flavors of sandalwood and cedar continue to the palate, which is crisp, clean and salty but not unctuous at all, with tangy citrus on the finish.",2015
US,Cabernet Sauvignon,85,18,Field Stone 2012 Cabernet Sauvignon (Alexander Valley),Virginie Boone,"Dry, sizable tannins embrace a core of dusty black plum and blackberry. Straightforward and not overly ambitions, it finishes with a pronounced taste of oak.",2012
US,Bordeaux-style Red Blend,92,135,Krupp Brothers 2013 Stagecoach Vineyard Synchrony Red (Napa Valley),Virginie Boone,"This is powerful wine made at a high level, a blend of 75% Cabernet Sauvignon, 17% Malbec and 8% Cabernet Franc. Muscular and dense, it offers a rich, ripe succulence of baked plum clafoutis, coconut, blackberry and clove within a dusty, gravelly brawn of dried herb and plush chocolate.",2013
Argentina,Malbec,88,17,Verum 2012 Malbec (Alto Valle del Río Negro),Michael Schachner,"Red-berry aromas are at once jammy as well as sharp. In the mouth, this is chunky but also choppy. Intense flavors of berry fruits come with a cherry note, while the finish is earthy in flavor, with some roughness to the lasting tannins.",2012
Argentina,Rosé,84,17,Finca Wölffer 2016 Rosé (Mendoza),Michael Schachner,"Prickly aromas of nettle and cactus include crushed vitamin scents and tropical fruit notes. This feels gritty and dilute. Tart tropical-fruit flavors of lychee, pineapple and lime finish crisp, tangy and angular.",2016
US,Zinfandel,86,29,V. Sattui 2005 Crow Ridge Vineyard Zinfandel (Russian River Valley),NA,"Superripe, almost sweet, this has good acidity and firm, fuzzy tannins that help balance the jammy cherry, raspberry and cola flavors. Good with a slightly sweet barbecue sauce on ribs and chicken.",2005
Italy,Picolit,90,NA,Zorzettig 2006 Picolit (Colli Orientali del Friuli),NA,"Zorzettig's precious Picolit dessert wine delivers unique menthol- like tones over dried herbs, almond, honey, pine nut and maple syrup. It's very alive and bright in the mouth and has a distinctive powder-like texture with great intensity on the close.",2006
US,Cabernet Sauvignon,86,35,Reaper 2012 Cabernet Sauvignon (Napa Valley),NA,"Rich blackberry and currant flavors mark this Cabernet. It's bone dry, very tannic and acidic, giving it a severe mouthfeel that's not likely to age out. But it's elegant and food-friendly. Decant it for a few hours.",2012
Portugal,Rosé,85,11,Wines & Winemakers 2016 Azul Portugal Rosé (Península de Setúbal),Roger Voss,"Made from 100% Castelâo, the local grape of Setúbal, this wine is attractively fruity, with a crisp texture. Warmer, ripe red-berry fruits contrast with the acidity, leaving a balanced wine that is ready to drink.",2016
US,Grenache,83,22,Minassian-Young 2007 Grenache (Paso Robles),NA,"A simple wine, with cola, herb and raspberry tea flavors that are dry, but have a sharp mouthfeel. Seems unevenly ripened, with awkward tannins.",2007
Australia,Shiraz,93,50,Torbreck 2006 The Struie Shiraz (Barossa),Christina Pickard,"A blend of Shiraz from Eden Valley and the valley floor, this is both amply endowed and impressively complex. The creamy purée of raspberries is dusted with peppery spice and cocoa, leaving a savory impression on the lasting finish. Drink now—2015.",2006
Italy,Barbera,87,14,Boroli 2007 Quattro Fratelli  (Barbera d'Alba),NA,"This bright wine opens with sweet tones of cherry, chocolate and a touch of cinnamon spice. That characteristic Barbera acidity kicks in at the end and the wine offers smooth richness and plenty of fruit in the mouth.",2007
France,Sparkling Blend,89,25,Gustave Lorentz NV Brut Sparkling (Crémant d'Alsace),Anne Krebiehl MW,"Honey and nougat scents cling to the plum notes on the nose. The palate comes across as fresh and almost dainty, fizzing with delicate citrus flavours at first. Then, the backdrop of yeast and autolysis becomes apparent. The finish presents lemon freshness and is beautifully dry.",NA
Australia,Shiraz,91,29,Kangarilla Road 2012 The Devil's Whiskers Shiraz (McLaren Vale),Joe Czerwinski,"Is there any doubt that 2012 is a superb vintage for South Australian Shiraz? Here's another fine example, boasting sumptuous levels of black cherry fruit framed by hints of brown sugar, roasted meat, cinnamon and allspice. It's full-bodied and richly textured, with a long, velvety finish. Drink 2018–2030.",2012
US,Syrah,87,25,Daedalus Cellars 2006 Syrah (Columbia Valley (OR)),Paul Gregutt,"Carefully made, but seems a bit dilute. Light and quite tart fruit flavors suggest rhubarb and cranberry; there are also hints of coffee grounds and smoke, though no new oak was used.",2006
France,Gewürztraminer,90,33,Jean-Marc Bernhard 2010 Mambourg Grand Cru Gewurztraminer (Alsace),Roger Voss,"With no indication on the label, it would be hard to know that this is a sweet wine. That is a shame, because the wine itself is ripe and opulent, layering honey and sweet lychee flavors. There's even room for an attractive edge of acidity.",2010
Portugal,Portuguese Sparkling,86,19,Bacalhôa Wines of Portugal 2011 Loridos Vintage Extra Bruto Sparkling (Vinho Espumante),Roger Voss,"This is an attractive, soft and fruity wine. Described as Extra Bruto—extra dry—it does in fact have a soft and gentle aftertaste that comes from creamed apple and ripe pear flavors. It is ready to drink.",2011
Austria,Pinot Blanc,89,18,Strauss 2016 Classic Pinot Blanc (Steiermark),Anne Krebiehl MW,"Although a flinty touch of reduction still hangs on the nose, freshness and verve await underneath. The palate is juicy, slight, dry and very refreshing. It offers a slender, lemony expression of Pinot Blanc with a clean-cut finish.",2016
US,Pinot Noir,96,60,Siduri 2015 Clos Pepe Vineyard Pinot Noir (Sta. Rita Hills),Matt Kettmann,"This is a stellar representation of the region, combining ripeness with dark earth and wild herb notes. Aromas of black cherry, crushed slate, turned loam, dried hibiscus and violets make for a lavish nose. The rounded palate weaves black raspberry together with gravel, thyme and sagebrush. Iron fist, silk glove, utterly delicious.",2015
US,Cabernet Sauvignon,90,18,Picket Fence 2014 Cabernet Sauvignon (Alexander Valley),Virginie Boone,"Rich and thick in chocolate mocha and a punch of espresso, this wine offers great value. It showcases the cooler side of the variety in cedar undertones, while delivering decadent counterpoint with its suggestion of bacon. A lift of acidity brightens the finish.",2014
Italy,Sparkling Blend,88,35,Fratelli Berlucchi 2009 Brut Vintage Sparkling (Franciacorta),Kerin O’Keefe,"This brut offers notes of citrus, stone fruit and Mediterranean herbs. It's fresh and linear, with an elegant perlage. The quenching finish closes on a note of bitter walnut.",2009
US,White Blend,89,15,Naggiar 2013 White Oleander White (Sierra Foothills),Jim Gordon,"This white blend is subtle, not overtly fruity, but has a complexity in the aroma that leads to an intriguing white peach and almond flavor, a rich mouthfeel and lingering finish. It's made from 62% Viognier, plus Muscat Canelli, Marsanne and Roussanne.",2013
US,Chardonnay,90,45,Rex Hill 2011 Chardonnay (Chehalem Mountains),Paul Gregutt,"Young, sharp, oaky and wound up tightly, this is a focused wine of medium concentration. Green and yellow apples hold down the core of fruit, and trail out with a hint of butter on the tongue.",2011
France,Chardonnay,88,13,Joseph Drouhin 2010 La Forêt  (Bourgogne),Roger Voss,"Initially this is round, ripe and floral, with a touch of honey, but then the acidity comes through with a touch of minerality. Screwcap.",2010
Chile,Syrah,88,17,Koyle 2011 Reserva Syrah (Colchagua Valley),Michael Schachner,"This concentrated, ripe, dark wine carries aromas of lead pencil, shoe polish, creamy oak, coconut and blackberry. It's loud and oaky on the palate, with modern flavors of black fruits, chocolate and coconut. This finishes mildly bitter, toasty and almost fat, but with healthy acidity.",2011
US,Chardonnay,86,24,Eberle 2015 Estate Vineyard Chardonnay (Paso Robles),Matt Kettmann,"This bottling is ripe and tropical but approachable on the nose, with honeydew melon, banana and nectarine aromas. There is a decent punch of acidity and noticeable texture upon first sip, veering toward sweet apple and bubblegum flavors on the finish.",2015
US,Red Blend,89,45,VinRoc 2009 RTW Red (Napa Valley),NA,"This is a classy wine, showing a deep core of ripe blackberries, black currants and spices, with a smoked meat richness, like crispy bacon. Beyond the flavors is a fine mouthfeel, composed of smooth tannins and a nice bite of acidity.",2009
US,Merlot,84,25,Clos Pegase 2006 Merlot (Napa Valley),NA,"Pretty standard Merlot. It's dry and tannic, with blackberry, earth and cedar flavors. There are some unripe notes that approach asparagus. Drink now.",2006
US,Claret,90,20,St. Francis 2013 Claret (Sonoma County),Virginie Boone,"The producer does a nice job with this concoction of 45% Merlot and 31% Malbec, with smaller percentages of Cabernet Sauvignon and Petit Verdot making up the rest. Dark, extracted color leads the way to thick, leathery textures atop aspects of baked bread, coffee and cedar that accent the big tannin and flavor.",2013
US,Red Blend,87,50,Anemoi 2011 Notus Red (Grand Valley),NA,"Quiet notes of smoked meat, flowers and toast lead on the nose of this blend of 60% Petit Verdot and 40% Syrah. Traces of mint and blackberry fill in the backdrop. This has a lush, alluring mouthfeel, but the midpalate needs a few years to gain weight.",2011
Portugal,Portuguese Red,91,23,Herdade do Rocim 2012 Red (Alentejano),Roger Voss,"This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018.",2012
Portugal,Portuguese Red,86,9,Bacalhôa Wines of Portugal 2010 JP Azeitão Tinto Red (Setubal),Roger Voss,"Fresh, juicy wine, with soft tannins and taut red cherry fruit. The tannins provide a discreet backbone. Age for 2–3 years.",2010
Italy,Nebbiolo,93,58,Elvio Cogno 2011 Cascina Nuova  (Barolo),Kerin O’Keefe,"Forest floor, truffle, wild berry and a whiff of grilled herb unfold on this full-bodied red. The savory, structured palate displays ripe black cherry, crushed raspberry, licorice, clove and a hint of chewing tobacco alongside a firm, tannic backbone. Drink 2019–2031.",2011
Australia,Chardonnay,83,12,Red Earth 2007 Chardonnay (Adelaide Plains),Joe Czerwinski,"Despite plenty of weight in the mouth, this wine's simple apple and lime flavors are surprisingly crisp, turning nearly sour-lemony on the finish. Imported by Walca International.",2007
US,Cabernet Sauvignon,92,165,Beaulieu Vineyard 2013 Reserve Clone 6 Cabernet Sauvignon (Rutherford),Virginie Boone,"Yeasty in baked bread aromas with an integrated framework of soft tannin and oak, this clone designate offers bright acidity amidst a ripeness of red currant and plum. Coffee flavor and tobacco give it an additional complexity of savory tension.",2013
Argentina,Red Blend,92,65,Lagarde 2007 Henry Gran Guarda No. 1 Red (Mendoza),Michael Schachner,"A deep, developed wine with cola, licorice and prune aromas. The palate is poised and balanced even if it's rich and very ripe. Layered in the mouth, with plum, prune, chocolate, coffee and fine spice, which is about as complete a package as you'll find with Malbec. Cabernet and Syrah; drink now through 2015.",2007
Portugal,Portuguese White,87,NA,Quinta das Bandeiras 2011 Passagem Branco White (Douro),Roger Voss,"Full and fat, this has an oily, ripe fruit texture—a sign of its warmth and richness. It's a food style of wine, with apricot and pear flavors that are round and generous. Drink now.",2011
US,Red Blend,87,80,V. Sattui 2011 Paradiso Red (Napa Valley),Virginie Boone,"The producer's proprietary red Bordeaux-inspired blend is austere in this vintage, offering herbal thyme and cedar along with a sharp element of pencil lead. Medium bodied, the texture is velvety and lingering on the palate.",2011
Portugal,Portuguese Red,93,65,Quinta dos Avidagos 2011 Lenuma Red (Douro),Roger Voss,"This Avidagos vineyard in the Corgo River Valley is one of the oldest in the Douro. The wine, from a parcel of old vines, is hugely powerful and dense. With its dark tannins, concentrated black fruits, it could be too much. Somehow it pulls back leaving a very rich wine but also one that has structure and final freshness. The wine needs to age and should not be drunk before 2020.",2011
Italy,Chardonnay,90,84,Ferghettina 2006 Pas Dosé Chardonnay (Franciacorta),Kerin O’Keefe,"Fans of no-dosage sparklers will appreciate this elegant, bone-dry wine. Made with Chardonnay, it offers pretty aromas of chamomile, hay, citrus and pear. The sleek palate delivers yellow apple, ginger and herbs alongside a fine perlage and vibrant acidity.",2006
US,Chardonnay,85,24,Torii Mor 2009 Chardonnay (Willamette Valley),Paul Gregutt,"Aggressively oaky in the nose, it follows with a buttery, oaky palate that shows little fruit beyond green-apple tartness.",2009
US,Roussanne-Viognier,88,18,Seven of Hearts 2010 Chatte d'Avignon Roussanne-Viognier (Columbia Valley (OR)),Paul Gregutt,"Roughly half and half Viognier and Roussanne, this is vivid and fresh, with grapefruit flesh and rind in the flavor mix. Peach and apricot streaks slip into the midpalate, and the wine sets up bracing and clean, with just a hint of bitterness.",2010
US,Zinfandel,88,34,De Loach 2009 Riebli Valley Vineyard Zinfandel (Sonoma County),NA,"Even by De Loach's standards of enormously ripe Zinfandels, this one stands out. It's a hydrogen bomb of a wine, fantastically rich in berries and fruits that have a slightly dried quality to them. The tannins are thick, and the alcohol seems higher and hotter than the stated 14.5% by volume.",2009
Italy,Nebbiolo,88,100,Josetta Saffirio 2012 Persiera  (Barolo),Kerin O’Keefe,"Woodland berry, toast, sawdust, grilled herb and camphor are some of the aromas that emerge on this. On the rather slim palate, licorice, orange peel and rose add interest to fresh strawberry while assertive tannins provide the framework. It finishes on a slightly bitter note of dried sage.",2012
US,Cabernet Sauvignon,86,28,Perry Creek 2011 Altitude 2401 Fair Play Farms Cabernet Sauvignon (El Dorado),Jim Gordon,This big but smooth wine has very ripe aromas and flavors that convey dried plums and rosemary. It's very full bodied and fine tannins keep the texture softer than usual.,2011
US,Sauvignon Blanc,90,19,Wrath 2013 Ex Anima Sauvignon Blanc (Monterey),Matt Kettmann,"The family-owned, Santa Lucia Highlands-focused Wrath Winery produces their Ex Anima line to show off wines from their estate San Saba Vineyard made with very little intervention and no new oak. This wine is nearly as clear as water, and yet offers aromas or freshly cut grass, honeydew melon, kiwi and fresh rain on rocks. On the palate, minerality lingers alongside poached pear and peach. Refreshing and light, yet full of flavor.",2013
South Africa,Chardonnay,85,38,Jardin 2007 Nine Yards Chardonnay (Stellenbosch),Susan Kostrzewa,"Cloves, butterscotch and slightly candied fruit aromas begin this playful Chardonnay from Jardin. On the palate, fresh, balanced flavors of fruit and citrus spice give the wine heft. Pair with grilled fish, scallops.",2007
US,Zinfandel,90,12,Boeger 2014 Hangtown Zinfandel (El Dorado),Jim Gordon,"Delicious and bold, this dry wine is easy to enjoy and appreciate. It has aromas like crushed fresh raspberries and blackberries, flavors that are ripe and rich without overdoing it, and a smooth texture punctuated with some fine-grained tannins.",2014
US,Pinot Noir,88,46,Talisman 2007 Adastra Vineyard Pinot Noir (Los Carneros),NA,"A good, rich wine, brimming with ripe, fruity raspberries and cherries and lots of savory spices. Feels a bit rustic, with a sweet, caramelized finish. Drink soon.",2007
Australia,Riesling,90,38,Grosset 2008 Springvale Riesling (Clare Valley),Joe Czerwinski,"Like some of the other 2008s, this wine seems to be evolving rapidly—a common enough occurence in hot vintages. Apple and citrus flavors still dominate, but the wine is already showing hints of honey and toast. Drink it now and over the next 3–5 years.",2008
Italy,Vermentino,86,15,Poggio al Tufo 2015 Vermentino (Toscana),Kerin O’Keefe,Here's a fun informal white that has delicate aromas of yellow stone fruit and a whiff of wild flower. The simple but well-made palate offers yellow peach and a citrusy note. Enjoy as an apéritif or pair it with light first courses.,2015
US,Cabernet Sauvignon,94,160,Hall 2012 Cabernet Sauvignon (Diamond Mountain District),Virginie Boone,"Juicy black cherry and vanilla wrap around sizable mountain tannin making for a full-bodied experience of tobacco, clove and tar. Chocolate and dust round out the profile of a wine with prolific power and structure, along with a bright, fresh finish. Drink now through 2022.",2012
